,ID,Task,Client,Area,Country,Contact,Assignee,Completion,Start date,Deadline,Budget,Transaction type,Account,Version,Available
,12,Task #13,Towne - Denesik,Identity,Madagascar,Evert.DuBuque@example.net,Sonia Altenwerth, 28%,09.05.2022,23.09.2022,"8 074,18 €",payment,MK71002090J68892746,4.7.9,
,13,Task #14,"Boyle, Langosh and Thompson",Branding,United States of America,Gloria.Graham8@example.com,Clayton Heidenreich, 76%,20.04.2022,06.10.2022,"7 090,04 €",payment,AD8890025954686336O95892,0.9.3,
,14,Task #15,Koch - Borer,Assurance,Gibraltar,Dewayne.Leffler@example.org,Everett Frami, 69%,07.06.2022,18.08.2022,"3 895,24 €",payment,HR4370040961061006583,9.8.7,
,15,Task #16,Kuhn - Rosenbaum,Assurance,Tanzania,Santos_Hermiston@example.org,Gladys Strosin, 94%,17.03.2022,16.07.2022,"2 686,66 €",invoice,PL34440190059010034073025705,6.9.2,
,16,Task #17,Hoppe and Sons,Applications,Bangladesh,Josianne.Haag87@example.net,Heather Walker, 89%,02.04.2022,20.06.2022,"8 471,07 €",withdrawal,FR173373200434328I17266N911,9.8.9,
,17,Task #18,"Lesch, O'Kon and Yost",Usability,Austria,Kayden_Oberbrunner10@example.org,Al Lehner I, 72%,09.03.2022,19.06.2022,"3 056,62 €",deposit,AL30520096268473246Q04P5A9PB,1.3.6,
,18,Task #19,Stokes Group,Intranet,Malawi,Damien_Mayer81@example.com,Nicholas Gottlieb III, 14%,29.05.2022,13.07.2022,"7 124,84 €",payment,AZ08ASLI39400520908347020706,3.8.8,
,19,Task #20,Sauer Group,Functionality,Bolivia,Nels_Tromp@example.org,Dixie Howell, 98%,11.04.2022,30.06.2022,"9 317,53 €",deposit,AD540020515321691S9993XP,1.6.8,
,20,Task #21,O'Kon Inc,Mobility,United States Minor Outlying Islands,Luther94@example.org,Mrs. Hugo Schiller, 7%,29.05.2022,01.10.2022,"8 529,90 €",payment,MD668520O21597T53B4Q856A,1.0.3,
,21,Task #22,"Kub, Dickinson and Ebert",Research,Barbados,Rashawn.Abbott52@example.net,Meghan Ondricka Sr., 3%,10.05.2022,23.09.2022,"1 420,89 €",payment,CZ6007673403350028060012,1.6.8,
,22,Task #23,"Balistreri, Legros and Swift",Integration,Qatar,Vaughn.Bode@example.org,Yolanda Rohan, 85%,12.06.2022,12.08.2022,"6 377,86 €",payment,KZ282638176811KWA955,3.3.1,
,23,Task #24,Christiansen - Schmitt,Assurance,Nicaragua,Wilfred.Turner77@example.net,Glenda Sanford, 84%,30.03.2022,30.09.2022,"2 565,12 €",invoice,GL7552203093100784,3.9.0,
,24,Task #25,"Dooley, Spencer and Wilkinson",Brand,Iraq,Hortense_Hudson53@example.org,Marguerite Terry, 16%,04.06.2022,03.09.2022,"3 820,66 €",invoice,KW92HRSX01K5305676H0C2V9107278,6.0.8,
,25,Task #26,"Pacocha, Pollich and McCullough",Mobility,Uzbekistan,Trent55@example.com,Miss Jessie Marvin, 76%,12.05.2022,02.10.2022,"2 221,28 €",invoice,KW14MHGS02190696XT0U34V427306J,5.9.2,
,26,Task #27,Goyette - Hilll,Intranet,Paraguay,Felipa47@example.net,Jaime Pacocha PhD, 24%,22.02.2022,02.07.2022,"5 641,52 €",payment,BE14773090590092,7.4.1,
,27,Task #28,Wolff Inc,Accountability,Djibouti,Branson_Kassulke@example.net,Miss Vicky Hilll, 21%,26.04.2022,19.08.2022,"4 374,05 €",invoice,BG72LDLY820030V3726O9V,4.9.5,
,28,Task #29,Koelpin Inc,Functionality,Luxembourg,Ladarius_Gottlieb70@example.com,Monique Thiel, 44%,20.03.2022,28.07.2022,"2 456,94 €",invoice,BH85HOWWC922093C55416R,8.5.9,
,29,Task #30,Fadel - Lowe,Configuration,Ecuador,Norval23@example.com,Marlene Medhurst, 27%,26.03.2022,30.07.2022,"1 063,52 €",deposit,QA27PURS1J344SY63V682P5221150,3.3.9,
,30,Task #31,Purdy - Hettinger,Intranet,Saint Helena,Lelah12@example.net,Mr. Thelma Rogahn, 31%,02.03.2022,02.10.2022,"3 558,77 €",payment,PL63504000690902354001002003,3.5.9,
,31,Task #32,"Murray, Reinger and Jerde",Quality,Panama,Carlie18@example.com,Everett Kreiger, 36%,13.03.2022,07.09.2022,"5 115,68 €",payment,AE250132730700710041471,5.0.0,
,32,Task #33,Nienow - Price,Directives,Bangladesh,Sophia_Rau22@example.net,Betty Thompson, 1%,20.05.2022,18.06.2022,"6 171,28 €",withdrawal,LT465435540266653059,3.7.3,
,33,Task #34,"Zulauf, Lubowitz and Zieme",Program,Guernsey,Alycia40@example.org,Jimmie Graham, 44%,03.06.2022,29.06.2022,"1 874,38 €",invoice,PL24621006894746367181688019,1.8.8,
,34,Task #35,Ruecker - Botsford,Directives,Solomon Islands,Thelma.Larson@example.org,Jasmine Thompson, 89%,10.04.2022,02.07.2022,"5 760,72 €",invoice,CZ3387020064510035190017,8.4.8,
,35,Task #36,Howe Group,Infrastructure,Eritrea,Rene55@example.org,Tomas Pouros, 93%,15.06.2022,06.07.2022,"3 186,00 €",withdrawal,CZ1390100570878050703036,1.0.6,
,36,Task #37,Jacobs - Goldner,Intranet,Libyan Arab Jamahiriya,Ruben.Spinka73@example.com,Cameron Cruickshank, 23%,26.05.2022,17.07.2022,"2 285,94 €",deposit,KW34WPHG309325C74264IFA8Z29308,2.9.2,
,37,Task #38,"Greenfelder, Treutel and Beatty",Directives,Mongolia,Sofia_Senger1@example.org,Brad Ebert, 37%,12.06.2022,08.07.2022,"5 842,25 €",deposit,LB3230182344216PG919392F525S,3.8.6,
,38,Task #39,"Kling, Ledner and Emmerich",Integration,Turks and Caicos Islands,Issac_Ratke@example.org,Audrey Bayer V, 49%,07.03.2022,29.06.2022,"8 881,78 €",invoice,LT872006270083007087,6.8.2,
,39,Task #40,"Strosin, Kshlerin and Rosenbaum",Quality,Pitcairn Islands,Virginia_Keebler92@example.org,Lynne Larson, 24%,10.03.2022,19.09.2022,"4 602,23 €",payment,TN9360318001074450331003,3.2.2,
,40,Task #41,"Barton, Carroll and Murphy",Quality,Liechtenstein,Kaylah13@example.com,Cristina Windler, 97%,11.05.2022,21.07.2022,"7 126,59 €",payment,MR9700705005627006022530087,1.0.2,
,41,Task #42,"Fritsch, Zieme and Tremblay",Response,Bolivia,Forest.Torphy12@example.net,Myron Russel, 99%,02.04.2022,18.06.2022,"528,67 €",payment,CH406360815099338Y233,7.0.3,
,42,Task #43,Bergnaum - Becker,Program,Reunion,Monte_Hayes@example.net,Blake Hilpert, 95%,13.03.2022,06.10.2022,"9 629,13 €",invoice,CR95805593226009965891,7.8.0,
,43,Task #44,"Rohan, Walter and Rath",Configuration,Gambia,Blair.Stark@example.com,Arthur Kessler, 5%,29.05.2022,28.07.2022,"9 933,25 €",withdrawal,KW56WKBBBE3G357058521I152M4409,9.1.7,
,44,Task #45,"Brown, Breitenberg and Waters",Brand,Guinea,Fleta.Brekke24@example.org,Jeffrey VonRueden, 93%,03.05.2022,17.07.2022,"7 627,63 €",withdrawal,SI39086690450010255,9.5.8,
,45,Task #46,Quitzon - Heller,Identity,Kenya,Brent.Johnson41@example.org,Miss Tracey Heller, 52%,28.03.2022,07.07.2022,"4 599,76 €",payment,NL73NPXX9200820491,8.4.1,
,46,Task #47,"McCullough, Hirthe and VonRueden",Program,Mauritius,Verner31@example.net,Janie Hahn, 57%,14.03.2022,24.07.2022,"7 366,74 €",invoice,MD03A062O26969S45CY12B36,2.4.0,
,47,Task #48,Stroman - Hickle,Paradigm,Djibouti,Zachariah_Wilderman56@example.net,Kim Stokes, 52%,11.04.2022,24.06.2022,"7 146,93 €",invoice,FR8700378005714J1998329B632,1.8.6,
,48,Task #49,Cummings - Bradtke,Security,French Guiana,Deanna51@example.org,Sammy Rodriguez DVM, 56%,20.04.2022,07.10.2022,"10 776,98 €",deposit,TN9212076003390070187004,0.1.0,
,49,Task #50,"Hyatt, Hirthe and Balistreri",Tactics,Liechtenstein,Geo.Mills57@example.com,Sheila Pfeffer, 19%,09.04.2022,24.07.2022,"7 814,16 €",withdrawal,PT26009673370085090887397,7.3.7,
,50,Task #51,"Gleichner, Baumbach and Rempel",Factors,Botswana,Reuben_Sporer24@example.net,Karl Hegmann, 81%,13.04.2022,08.07.2022,"4 062,21 €",invoice,PT44892193570011700617370,4.7.0,
,51,Task #52,Bartoletti - Klocko,Intranet,Faroe Islands,Elfrieda.Fahey7@example.org,Mrs. Yvette Harris, 66%,11.03.2022,22.07.2022,"2 453,57 €",payment,SI41852738020067742,8.6.3,
,52,Task #53,Streich Group,Data,Macedonia,Felicity_Bradtke44@example.org,Mr. Penny Hickle, 20%,28.03.2022,21.07.2022,"3 690,10 €",withdrawal,EE384356380860919562,8.9.5,
,53,Task #54,Hilll Inc,Usability,Palestinian Territory,Waylon_Shanahan25@example.com,Carol Lockman, 94%,26.02.2022,13.07.2022,"10 157,24 €",withdrawal,GL0328540872898684,7.5.2,
,54,Task #55,Toy Group,Group,Mozambique,Judd70@example.net,Lora Baumbach, 2%,14.05.2022,25.08.2022,"7 449,25 €",withdrawal,FO3813370740378043,5.6.1,
,55,Task #56,Stoltenberg - Pacocha,Interactions,Switzerland,Leanna_Kerluke73@example.org,Miss Estelle Runolfsson, 55%,04.04.2022,04.10.2022,"2 886,22 €",payment,JO75HQOH0710008000808600586001,3.3.8,
,56,Task #57,Kilback LLC,Usability,Sudan,Jamel.Kuvalis18@example.org,Justin King, 45%,01.04.2022,18.06.2022,"8 618,02 €",deposit,MU33ZZWG3950005125030008162VGP,1.4.0,
,57,Task #58,"Goldner, Grimes and Cartwright",Markets,Iran,Leonie_Runte@example.net,Clifton Smitham, 27%,15.04.2022,10.08.2022,"10 952,11 €",deposit,GT42579Q7I0399IRH97U92469408,6.9.4,
,58,Task #59,Huels Group,Paradigm,Burkina Faso,Estefania_Abshire@example.org,Florence Waters, 92%,24.04.2022,06.09.2022,"9 258,95 €",deposit,BR4150021933006310096597769U9,3.5.6,
,59,Task #60,Metz and Sons,Implementation,Libyan Arab Jamahiriya,Anjali.Heathcote0@example.com,Hector Wiza, 71%,23.04.2022,21.09.2022,"7 622,05 €",withdrawal,GI04YZVG44327D7614442W7,1.4.6,
,60,Task #61,Hane Inc,Security,Seychelles,Duane_Welch@example.org,Hannah O'Keefe, 38%,06.04.2022,21.07.2022,"7 538,72 €",withdrawal,KW22HQQL214GM925582U5E49576696,9.3.5,
,61,Task #62,Ebert - Rosenbaum,Web,Croatia,Okey58@example.net,Danielle Morar, 29%,04.04.2022,11.07.2022,"10 392,32 €",payment,RS97493010441704000107,5.0.6,
,62,Task #63,"Fay, Lemke and Ryan",Division,South Georgia and the South Sandwich Islands,Emile_Rath29@example.com,Tomas Smith, 99%,27.03.2022,09.09.2022,"2 722,50 €",deposit,DK5307838770006774,1.8.3,
,63,Task #64,Rosenbaum - Upton,Infrastructure,Peru,Jaylan_Zemlak6@example.com,Arlene Monahan, 46%,05.03.2022,19.07.2022,"5 246,02 €",invoice,JO96WENS0451030292067079140011,6.9.4,
,64,Task #65,Gottlieb and Sons,Metrics,Thailand,Howard_Howell@example.net,Nora Huel, 11%,29.05.2022,16.07.2022,"7 648,18 €",invoice,DK6010957700790818,8.6.5,
,65,Task #66,Jacobson - Schaden,Paradigm,Haiti,Rocky4@example.net,Claude Larson, 96%,12.04.2022,20.07.2022,"5 540,49 €",withdrawal,GE92WL2041010004974863,2.0.5,
,66,Task #67,"Schmeler, Heller and Kautzer",Division,American Samoa,Skyla56@example.net,Cary Grimes, 15%,19.05.2022,27.09.2022,"902,07 €",invoice,RO35NQEN54797001G38T7878,1.7.1,
,67,Task #68,Cummings - Bosco,Web,Dominican Republic,Wilber.Murray65@example.org,Linda Satterfield, 66%,19.05.2022,13.08.2022,"1 040,41 €",withdrawal,GI56WNUD80794737O79G617,7.8.6,
,68,Task #69,Keeling LLC,Paradigm,Peru,Kavon45@example.org,Ellis Abbott, 78%,15.03.2022,10.10.2022,"4 893,48 €",invoice,DK0988835010005902,1.4.5,
,69,Task #70,Carter and Sons,Functionality,Turks and Caicos Islands,Bette30@example.com,Rick Veum, 85%,20.05.2022,27.07.2022,"10 503,19 €",invoice,GE93FH6694001104723035,7.1.1,
,70,Task #71,Herman - Blanda,Infrastructure,New Caledonia,Torrey.Jast61@example.com,Mr. Heather Davis, 36%,06.06.2022,21.08.2022,"8 094,23 €",withdrawal,QA03THYX0MF36UQX3E31P11510599,9.9.5,
,71,Task #72,Rodriguez and Sons,Program,Guadeloupe,Monica_Sporer42@example.org,Scott Kessler, 16%,28.05.2022,23.08.2022,"3 648,49 €",payment,XK140042071006744003,7.9.6,
,72,Task #73,"Spinka, Haag and Greenfelder",Intranet,Madagascar,Gerald_Goodwin7@example.net,Paulette Hayes, 53%,25.03.2022,28.09.2022,"8 290,50 €",payment,IL112050698009101005073,1.6.2,
,73,Task #74,"Quigley, Barrows and Welch",Optimization,Svalbard & Jan Mayen Islands,Berenice_Wuckert47@example.org,Michael Schultz, 12%,05.04.2022,31.08.2022,"5 661,87 €",withdrawal,MT50LLNH05084I56J1427N23O478078,1.8.8,
,74,Task #75,Kuvalis - Haag,Interactions,Tuvalu,Mariane73@example.net,Bryan Buckridge, 95%,29.04.2022,07.10.2022,"5 128,30 €",payment,AL08006040078737346W53933593,6.1.3,
,75,Task #76,Gottlieb - Schoen,Group,Qatar,Casimer.Carroll@example.com,Clyde Reinger, 21%,03.04.2022,07.10.2022,"4 596,34 €",payment,SM72S0010097306J54457K182I5,6.7.3,
,76,Task #77,Ankunding - DuBuque,Interactions,Samoa,Eryn.Stehr2@example.net,Kara Prosacco, 93%,23.04.2022,24.09.2022,"10 942,13 €",invoice,RS25251601005182352131,8.1.2,
,77,Task #78,"Braun, Nader and Grant",Operations,Paraguay,Jimmie.Frami11@example.com,Debbie Kirlin, 41%,13.05.2022,25.07.2022,"7 274,48 €",invoice,MU22SIJO0929200562005300497TNS,5.3.0,
,78,Task #79,"Baumbach, DuBuque and Kautzer",Tactics,Tunisia,Sim_Zboncak77@example.com,Loren Emmerich, 82%,29.05.2022,30.07.2022,"1 791,22 €",withdrawal,DK6573660175460032,3.4.8,
,79,Task #80,Lockman - Bergnaum,Identity,Iraq,Garrett12@example.org,Amy Douglas, 50%,21.05.2022,24.08.2022,"6 280,23 €",withdrawal,FO3802116700900857,7.8.4,
,80,Task #81,Schroeder - Stracke,Brand,Saint Kitts and Nevis,Zelda.Nitzsche@example.com,Melissa Prosacco, 1%,03.05.2022,22.08.2022,"530,12 €",payment,FR25002075057613N7026770555,1.8.1,
,81,Task #82,Haag Group,Configuration,Seychelles,Dovie_Zemlak@example.com,Molly Waters, 9%,18.05.2022,06.07.2022,"5 213,53 €",invoice,XK085654024808075340,1.9.1,
,82,Task #83,Feest - Rau,Quality,Saudi Arabia,Kathleen.Reynolds34@example.net,Karen Kassulke, 64%,10.04.2022,24.09.2022,"6 152,61 €",payment,MD4353F768660O3397196561,2.6.2,
,83,Task #84,"Rohan, Runte and Nolan",Assurance,Vietnam,Robbie37@example.com,Wilma Graham, 91%,03.06.2022,02.10.2022,"8 229,25 €",payment,SK7970050034410055006563,7.2.7,
,84,Task #85,Abshire - Mohr,Branding,Fiji,Otis_Weimann@example.org,Kristin Breitenberg, 47%,20.03.2022,10.09.2022,"1 930,78 €",payment,MD474017879925O99M060458,6.0.0,
,85,Task #86,Adams - Nicolas,Infrastructure,"Virgin Islands, U.S.",Katharina.Sporer@example.org,Lionel Heathcote, 85%,22.05.2022,18.09.2022,"5 859,61 €",deposit,IL469570530020804104004,7.2.4,
,86,Task #87,"Beer, Gleason and Hilll",Directives,Lebanon,Tyshawn_Predovic65@example.com,Hope Rath, 9%,24.02.2022,14.07.2022,"4 246,75 €",withdrawal,MT40FGBA010082E12397962504913T7,9.9.3,
,87,Task #88,"Schamberger, Bins and D'Amore",Accountability,Kuwait,Effie.Olson23@example.net,Ignacio Okuneva, 40%,10.04.2022,07.10.2022,"5 340,71 €",invoice,FR5460069210111541837N22767,8.9.3,
,88,Task #89,Ankunding LLC,Marketing,United States Minor Outlying Islands,Melany18@example.net,Felicia Tremblay, 94%,02.06.2022,01.09.2022,"8 363,94 €",deposit,AL9050800456W23V87388DO5137C,9.8.8,
,89,Task #90,Larkin - Frami,Branding,Timor-Leste,Sadie_Fay58@example.org,Kelvin Legros, 6%,07.03.2022,20.06.2022,"9 252,93 €",deposit,LI47106504545R88083G1,1.1.9,
,90,Task #91,Larson Inc,Response,Grenada,Samanta_Legros76@example.com,Dianna Miller, 96%,08.05.2022,01.08.2022,"9 547,41 €",payment,TL620052375124660075268,3.3.6,
,91,Task #92,"Pfannerstill, Batz and Conn",Division,Honduras,Felipe.Fritsch21@example.net,Lorena Gorczany, 31%,08.03.2022,20.08.2022,"4 298,16 €",deposit,NL89CBHH2995304083,3.7.6,
,92,Task #93,Sanford Inc,Usability,Venezuela,Mabel_Hintz@example.com,Mrs. Rudolph Hirthe, 71%,06.04.2022,04.10.2022,"851,11 €",invoice,NL12XPRR3106901129,9.5.4,
,93,Task #94,Nitzsche - Stroman,Directives,Antigua and Barbuda,Makenzie39@example.com,Tricia Fahey, 16%,06.06.2022,23.09.2022,"6 492,01 €",deposit,RO68ZILTF581035412Z2Z037,6.2.5,
,94,Task #95,Will - Renner,Communications,Gambia,Alfonso57@example.net,Kayla Bogan, 41%,05.04.2022,12.07.2022,"3 823,98 €",withdrawal,DK3140046059398032,7.9.6,
,95,Task #96,Becker Inc,Response,Vanuatu,Cecile_Schumm44@example.com,Amos Brekke, 8%,24.04.2022,24.08.2022,"6 833,29 €",payment,TN7902381700409502365087,0.4.7,
,96,Task #97,"Murazik, Huels and Stracke",Infrastructure,Ethiopia,Eliza_Weber77@example.org,Michelle Abshire, 36%,18.04.2022,22.06.2022,"7 683,42 €",invoice,IT36H1090010150152G2416G575,2.5.0,
,97,Task #98,"Fritsch, Jerde and Kuhic",Identity,Central African Republic,Lenora15@example.net,Alyssa Reichel, 0%,05.06.2022,27.07.2022,"7 529,98 €",deposit,SE1001100810060080213559,4.2.6,
,98,Task #99,Swift LLC,Mobility,Latvia,Robbie.Connelly39@example.org,Jean Borer, 82%,15.03.2022,03.08.2022,"6 491,02 €",invoice,IL983808230046809001822,2.2.4,
,99,Task #100,Fritsch and Sons,Brand,Turkmenistan,Jacey.White53@example.com,Jonathon Von, 1%,09.05.2022,13.08.2022,"5 414,44 €",deposit,SM08N00471480090T58A2489QU4,3.1.1,
,100,Task #101,Rutherford - Klocko,Assurance,Canada,Taryn35@example.net,Kayla Crona, 9%,14.03.2022,09.10.2022,"2 798,78 €",deposit,GL4394769304009329,0.2.5,
,101,Task #102,Oberbrunner Group,Accountability,Denmark,Trinity33@example.com,Johnathan Pacocha, 99%,18.05.2022,07.07.2022,"8 187,56 €",invoice,SA1170E14J62I5131262T4V5,4.6.5,
,102,Task #103,Anderson LLC,Usability,Belarus,Grant_Hansen58@example.net,Sabrina Hermann, 70%,28.05.2022,24.09.2022,"7 817,86 €",deposit,MU70DNWY2077079443902007008UES,9.7.5,
,103,Task #104,"Abbott, Kertzmann and Monahan",Division,Taiwan,Rex.Considine@example.com,Trevor Roberts, 98%,29.05.2022,10.10.2022,"8 748,72 €",deposit,PL56298008650028650070094966,8.4.8,
,104,Task #105,"Mills, Sawayn and McGlynn",Communications,Reunion,Margaretta_Trantow1@example.com,Sandra Schaefer, 22%,14.03.2022,20.07.2022,"2 618,09 €",payment,GE84UM1008050050300745,2.6.0,
,105,Task #106,"Harber, Welch and Rolfson",Operations,Mexico,Prudence.Rice@example.org,Joel Corwin, 79%,26.04.2022,06.08.2022,"10 863,33 €",deposit,LB60098857253R33E95521S776U1,9.4.4,
,106,Task #107,"Haley, Stanton and Breitenberg",Markets,Central African Republic,Zaria.Berge42@example.org,Jorge Skiles, 68%,12.05.2022,24.06.2022,"10 289,25 €",deposit,QA26PTMX8347G901036EP81536374,1.1.1,
,107,Task #108,Dickens - Runolfsson,Applications,Togo,Tiana31@example.org,Charlie Bauch, 38%,10.05.2022,30.08.2022,"7 734,62 €",payment,FI9554485612070063,1.3.4,
,108,Task #109,"Jerde, Kuhlman and Orn",Brand,Guadeloupe,Zechariah_Grady31@example.net,May Nicolas, 33%,12.03.2022,08.10.2022,"2 248,95 €",deposit,CY03004004253U28409Z50794646,0.6.0,
,109,Task #110,Schowalter and Sons,Directives,Spain,Arianna_Bartell@example.org,Natalie Metz, 33%,02.06.2022,25.08.2022,"8 949,66 €",invoice,MR4171001010056050023608008,3.3.2,
,110,Task #111,Keeling - Dickens,Integration,Thailand,Reagan_Pagac@example.org,Mandy Schuppe, 60%,22.04.2022,09.10.2022,"2 639,76 €",deposit,CZ7205003027423600600927,2.7.9,
,111,Task #112,Miller LLC,Applications,Zimbabwe,Kennedi.Wilderman@example.net,Alexis Kuvalis, 40%,09.04.2022,14.08.2022,"10 833,42 €",deposit,XK200442793606112205,1.5.6,
,112,Task #113,"Cartwright, Altenwerth and Hoeger",Communications,United Arab Emirates,Buster80@example.com,Olga Waelchi, 98%,12.04.2022,30.07.2022,"10 303,46 €",deposit,BR0500230090300356509628439Q0,4.4.5,
,113,Task #114,"Auer, Hodkiewicz and Anderson",Implementation,Taiwan,Israel_Zemlak@example.org,Doris Renner I, 51%,10.05.2022,20.09.2022,"4 034,53 €",invoice,IT34D15850931031250UZ9P477G,4.7.6,
,114,Task #115,"Kub, Hammes and Terry",Directives,Slovenia,Frederik.Kuphal@example.net,Nicole Marvin, 24%,08.05.2022,05.08.2022,"5 922,88 €",invoice,SE3637413780030050032971,0.8.5,
,115,Task #116,Parker - Gulgowski,Usability,Kiribati,Serena.Pfeffer88@example.org,Jaime Jacobs, 21%,21.05.2022,04.07.2022,"8 668,97 €",deposit,LB6108907O92L8Z78H188271880G,1.7.6,
,116,Task #117,"Murray, Donnelly and Reinger",Brand,French Southern Territories,Kelli9@example.com,Barry Wintheiser, 9%,14.06.2022,05.07.2022,"2 826,18 €",invoice,DO14FNZP06008040090390079071,1.5.6,
,117,Task #118,"Stokes, Cormier and Hane",Tactics,French Guiana,Shanie.Hodkiewicz88@example.com,Bruce Dach, 63%,10.05.2022,29.08.2022,"634,85 €",withdrawal,AE211800066558600136006,6.6.6,
,118,Task #119,Goldner Group,Data,Tuvalu,Korbin_Roberts@example.org,Mrs. Rosalie Ryan, 72%,26.05.2022,01.10.2022,"10 119,02 €",invoice,TR501617996091141002022005,3.7.7,
,119,Task #120,"Turcotte, Watsica and Mertz",Research,Ghana,Dimitri.Haley@example.com,Geneva Stamm, 64%,07.03.2022,18.07.2022,"4 697,40 €",invoice,TR143825450269687005007757,0.3.3,
,120,Task #121,"Langosh, Deckow and Huel",Solutions,Saint Martin,Dakota.Macejkovic89@example.org,Benny Crist, 64%,12.03.2022,31.07.2022,"10 284,45 €",withdrawal,QA23AJWO88970A3U69V5P193E881Z,0.7.4,
,121,Task #122,"Beier, Greenholt and Predovic",Markets,Papua New Guinea,Gwen32@example.com,Ms. Ellis West, 63%,02.04.2022,06.07.2022,"4 303,43 €",invoice,VG0437HP9761975002001027,5.3.7,
,122,Task #123,Kub Inc,Data,Vietnam,Constance_Walker98@example.net,Alice Sauer, 54%,14.06.2022,15.08.2022,"2 628,29 €",payment,XK970286103751209556,1.4.1,
,123,Task #124,Schneider LLC,Accounts,Togo,Emmie_Hartmann39@example.org,Miss Christy Kshlerin, 43%,11.06.2022,10.09.2022,"2 543,66 €",payment,LU230018X2N53KC98G42,1.9.4,
,124,Task #125,Gleason - Thompson,Metrics,Eritrea,Tod_Christiansen12@example.com,Dr. Norma Breitenberg, 57%,07.03.2022,08.09.2022,"1 004,94 €",withdrawal,JO68QKSD0375339876516206009415,9.4.6,
,125,Task #126,"Gottlieb, Jacobi and Rosenbaum",Branding,Latvia,Xander_Stark3@example.net,Lauren Hintz, 30%,05.03.2022,24.07.2022,"4 324,38 €",payment,BH22PZFC517JO262212700,3.8.8,
,126,Task #127,Koelpin - Batz,Security,Puerto Rico,Laisha_Aufderhar34@example.com,Mitchell Carter, 81%,11.06.2022,10.08.2022,"8 662,91 €",invoice,PL66205747000766101015507009,8.7.5,
,127,Task #128,Padberg - Johnston,Factors,Netherlands,Beatrice.Okuneva@example.org,Felipe Turcotte, 43%,25.02.2022,02.10.2022,"6 865,76 €",payment,BR1269477007397006900058024G4,0.3.2,
,128,Task #129,Waelchi and Sons,Web,Uruguay,Einar.Gulgowski@example.org,Inez Thiel, 70%,08.03.2022,17.08.2022,"10 637,03 €",payment,AT047453060331747063,6.8.7,
,129,Task #130,Nolan Group,Usability,Nauru,Eloisa.Kling93@example.net,Ricky Stamm, 59%,12.05.2022,26.06.2022,"7 706,62 €",withdrawal,PT14410072905000305070491,9.5.7,
,130,Task #131,Kemmer LLC,Intranet,Jamaica,Arianna93@example.net,Clay Bernier, 77%,20.03.2022,05.08.2022,"6 987,29 €",withdrawal,AL24200602058V750346I279166Z,1.6.2,
